id,registration_type,industry,is_high_value,avg_ledger_bal,cred_count_ratio,deb_count_ratio,avg_cred_amnt,avg_deb_amnt,avg_cred_ratio,avg_deb_ratio,coeff_var,churn
21,Enterprise,General Services,0,5000.0,0.005917159763313609,0.005917159763313609,10000.0,10000.0,59.171597633136095,59.171597633136095,0.0,0
122,Limited Liability,Technology,1,1000000.0,0.0038314176245210726,0.0038314176245210726,2000000.0,1200000.0,7662.835249042146,4597.701149425287,1.414213562373095,1
159,Sole Proprietorship,Technology,1,212260332.47945204,0.03734439834024896,0.26556016597510373,254966666.66666666,35701682.828125,1057952.9737206085,148139.7627723029,1.2295884184296897,0
217,Limited Liability,Digital Services,1,650000.0,0.004545454545454545,0.004545454545454545,1300000.0,1200000.0,5909.090909090909,5454.545454545455,1.414213562373095,1
323,Sole Proprietorship,Others,1,1974115.3265306123,0.08433734939759036,0.3092369477911647,1131904.761904762,303603.6493506493,4545.80225664563,1219.291764460439,0.8155428150232336,0
373,Limited Liability,E-Commerce,1,34678286.01298701,0.04316546762589928,0.23381294964028776,15591666.666666666,2675811.630769231,56085.13189448441,9625.2216934145,0.4561580793678617,0
498,Limited Liability,Technology,1,2702231.25,0.17391304347826086,0.17391304347826086,12850000.0,347768.75,558695.6521739131,15120.380434782608,2.632597230131727,0
686,Sole Proprietorship,E-Commerce,1,26805781.333333332,0.35714285714285715,0.39285714285714285,5775731.266666667,3856328.5454545454,68758.70555555556,45908.67316017316,0.8950350695735716,0
1108,Sole Proprietorship,Press & Media,1,5212300.578181818,0.16022099447513813,0.5994475138121547,2802912.724137931,753412.6267281106,7742.852829110307,2081.2503500776534,0.9980985839476539,0
1115,Limited Liability,General Services,1,20199629.020689655,0.20093457943925233,0.4766355140186916,4496511.627906977,1892880.4215686275,21011.736579004566,8845.23561480667,0.7165270603042478,0
1140,Limited Liability,Technology,1,173231.81818181818,0.03225806451612903,0.056451612903225805,400000.0,228450.0,3225.8064516129034,1842.3387096774193,3.2870768011469447,0
1301,Limited Liability,Technology,1,29108230.44117647,0.04700854700854701,0.3888888888888889,34981818.18181818,3941395.89010989,149494.94949494948,16843.572179956795,1.3315934748501197,0
1314,Limited Liability,Technology,1,1000000.0,0.005555555555555556,0.005555555555555556,2000000.0,1200000.0,11111.111111111111,6666.666666666667,1.414213562373095,0
1531,Sole Proprietorship,Digital Services,1,44070513.65925926,0.4418604651162791,0.6046511627906976,5494982.47368421,4000033.423076923,42596.76336189311,31008.011031604055,0.8577085837735022,0
1574,Sole Proprietorship,Digital Services,1,348377024.2307692,0.15862068965517243,0.2896551724137931,29289119.56521739,4478172.428571428,201993.928035982,30883.947783251228,0.5339934887373726,0
1578,Sole Proprietorship,Technology,1,17161853.4,0.061946902654867256,0.23303834808259588,22560446.42857143,5996834.797468354,66549.98946481248,17689.77816362346,1.65166265433699,1
