ID,Customer Types → Display Name,Industries → Name
21,Enterprise,General Services
122,Limited Liability,Technology
159,Sole Proprietorship,Technology
217,Limited Liability,Digital Services
323,Sole Proprietorship,Others
373,Limited Liability,E-Commerce
498,Limited Liability,Technology
686,Sole Proprietorship,E-Commerce
703,Sole Proprietorship,Digital Services
773,Sole Proprietorship,Technology
1027,Limited Liability,Digital Services
1040,Sole Proprietorship,Technology
1041,Sole Proprietorship,Digital Services
1108,Sole Proprietorship,Press & Media
1115,Limited Liability,General Services
1140,Limited Liability,Technology
1301,Limited Liability,Technology
1314,Limited Liability,Technology
1392,Enterprise,Digital Services
1431,Sole Proprietorship,Technology
1531,Sole Proprietorship,Digital Services
1569,Sole Proprietorship,Technology
1574,Sole Proprietorship,Digital Services
1578,Sole Proprietorship,Technology
1582,Limited Liability,Digital Services
1602,Sole Proprietorship,Press & Media
1696,Sole Proprietorship,Others
1729,Sole Proprietorship,Restaurant and Food
1877,Sole Proprietorship,Technology
2026,Enterprise,Agriculture
2115,Limited Liability,Technology
2192,Limited Liability,Hospitals & Health
2780,Sole Proprietorship,General Services
2822,Enterprise,Others
2962,Limited Liability,Press & Media
3209,Sole Proprietorship,Fashion & Beauty
3305,Sole Proprietorship,General Services
3384,Sole Proprietorship,Digital Services
3685,Limited Liability,Others
3744,Limited Liability,Logistics
3761,Limited Liability,Digital Services
3831,Sole Proprietorship,Technology
3838,Partnership,Digital Services
3871,Sole Proprietorship,Leisure & Entertainment
3924,Sole Proprietorship,Technology
4033,Enterprise,Technology
4130,Enterprise,Digital Services
4255,Limited Liability,Auto Parts
4290,Limited Liability,Technology
4326,Sole Proprietorship,Digital Services
4332,Enterprise,Financial Services
4481,Limited Liability,E-Commerce
4656,Limited Liability,Digital Services
4764,Sole Proprietorship,Digital Services
4766,Sole Proprietorship,Digital Services
4772,Limited Liability,Agriculture
4810,Limited Liability,Technology
4827,Sole Proprietorship,Fashion & Beauty
4911,Sole Proprietorship,Leisure & Entertainment
4968,Sole Proprietorship,Press & Media
5004,Limited Liability,Technology
5112,Sole Proprietorship,Digital Services
5137,Sole Proprietorship,Technology
5144,Sole Proprietorship,E-Commerce
5210,Sole Proprietorship,Others
5369,Limited Liability,E-Commerce
5383,Sole Proprietorship,Digital Services
5394,Limited Liability,Others
5475,Limited Liability,General Services
5570,Limited Liability,Travel & Hospitality
5589,Partnership,Electronics
5612,Sole Proprietorship,Fashion & Beauty
5614,Limited Liability,Financial Services
5679,Sole Proprietorship,Fashion & Beauty
5720,Partnership,E-Commerce
5727,Sole Proprietorship,Technology
5773,Limited Liability,Technology
5788,Limited Liability,Leisure & Entertainment
5815,Limited Liability,Food & Beverage
5818,Limited Liability,Others
5850,Limited Liability,Technology
5871,Sole Proprietorship,Others
5895,Enterprise,Food & Beverage
5898,Limited Liability,Digital Services
5901,Sole Proprietorship,Restaurant and Food
5912,Enterprise,Auto Parts
5923,Enterprise,Fashion & Beauty
5927,Limited Liability,Membership Groups
5930,Sole Proprietorship,General Services
5933,Enterprise,Furniture
5943,Sole Proprietorship,Logistics
5946,Sole Proprietorship,General Services
5948,Enterprise,General Services
5950,Limited Liability,Technology
5959,Sole Proprietorship,Leisure & Entertainment
5967,Enterprise,Technology
5973,Sole Proprietorship,Others
5976,Enterprise,Technology
5977,Enterprise,Fashion & Beauty
5983,Enterprise,Fashion & Beauty
5984,Enterprise,Digital Services
5987,Enterprise,Food & Beverage
5991,Enterprise,Others
6010,Limited Liability,E-Commerce
6011,Limited Liability,Technology
6016,Limited Liability,Financial Services
6026,Limited Liability,Financial Services
6036,Limited Liability,Digital Services
6037,Limited Liability,Agriculture
6047,Limited Liability,Digital Services
6048,NGO,Schools
6055,Limited Liability,Leisure & Entertainment
6059,Limited Liability,General Services
6061,Partnership,E-Commerce
6062,Limited Liability,E-Commerce
6064,Limited Liability,Technology
6065,Sole Proprietorship,Others
6066,Enterprise,Fashion & Beauty
6067,Sole Proprietorship,Others
6069,Sole Proprietorship,Agriculture
6072,Sole Proprietorship,Logistics
6073,Limited Liability,Hospitals & Health
6074,Enterprise,Food & Beverage
6076,Limited Liability,Financial Services
6077,Partnership,Others
6080,Limited Liability,Digital Services
6085,Enterprise,Fashion & Beauty
6088,Sole Proprietorship,Digital Services
6090,Sole Proprietorship,Leisure & Entertainment
6092,Enterprise,Food & Beverage
6104,Limited Liability,Financial Services
6105,Enterprise,Food & Beverage
6106,Enterprise,Food & Beverage
6108,Enterprise,Fashion & Beauty
6109,Enterprise,Technology
6114,Enterprise,Others
6116,Limited Liability,Technology
