id,registration_type,industry,transaction_type,amount,ledger_balance,available_balance,date,difference,churn
21,Enterprise,General Services,credit,100.0,0.0,0.0,2022-07-16,168,0
122,Limited Liability,Technology,credit,12000.0,0.0,0.0,2022-04-15,261,1
159,Sole Proprietorship,Technology,credit,26.88,0.0,0.0,2022-05-05,11,0
217,Limited Liability,Digital Services,credit,12000.0,0.0,0.0,2022-05-26,220,1
323,Sole Proprietorship,Others,credit,3.0,0.0,0.0,2022-04-27,16,0
373,Limited Liability,E-Commerce,credit,10.75,0.0,0.0,2022-03-29,11,0
498,Limited Liability,Technology,credit,10.75,0.0,0.0,2022-12-09,2,0
686,Sole Proprietorship,E-Commerce,credit,26.88,0.0,0.0,2022-10-09,3,0
1108,Sole Proprietorship,Press & Media,credit,10.75,1.19,1.19,2022-01-04,3,0
1115,Limited Liability,General Services,credit,1.0,0.0,0.0,2022-06-01,9,0
1140,Limited Liability,Technology,credit,10.75,0.0,0.0,2022-08-30,25,0
1301,Limited Liability,Technology,credit,10.75,0.0,0.0,2022-05-12,10,0
1314,Limited Liability,Technology,credit,12000.0,0.0,0.0,2022-07-05,180,0
1531,Sole Proprietorship,Digital Services,credit,0.0,0.0,0.0,2022-08-25,9,0
1574,Sole Proprietorship,Digital Services,credit,26.88,0.0,0.0,2022-08-09,4,0
1578,Sole Proprietorship,Technology,credit,26.88,-430.74,-430.74,2022-01-27,205,1
1582,Limited Liability,Digital Services,credit,5.2,0.0,0.0,2022-01-18,9,0
1602,Sole Proprietorship,Press & Media,credit,26.88,0.0,0.0,2022-03-23,3,0
1729,Sole Proprietorship,Restaurant and Food,credit,1.95,-860.91,-860.91,2022-01-28,2,0
2026,Enterprise,Agriculture,credit,10.75,0.0,0.0,2022-06-03,189,1
2115,Limited Liability,Technology,credit,986.0,0.0,0.0,2022-10-21,38,0
2192,Limited Liability,Hospitals & Health,credit,1328.14,0.0,0.0,2022-04-16,249,1
2822,Enterprise,Others,credit,10.75,0.0,0.0,2022-10-24,4,0
2962,Limited Liability,Press & Media,credit,10.75,0.0,0.0,2022-05-20,31,0
3209,Sole Proprietorship,Fashion & Beauty,credit,10.75,0.0,0.0,2022-09-17,4,0
3744,Limited Liability,Logistics,credit,26.88,0.0,0.0,2022-02-14,3,0
3831,Sole Proprietorship,Technology,credit,1000.0,0.0,0.0,2022-01-04,362,1
3838,Partnership,Digital Services,credit,10.75,0.0,0.0,2022-05-25,17,0
3871,Sole Proprietorship,Leisure & Entertainment,credit,26.88,0.0,0.0,2022-09-05,1,0
4033,Enterprise,Technology,credit,10.75,0.0,0.0,2022-04-14,153,0
4255,Limited Liability,Auto Parts,credit,10.75,0.0,0.0,2022-02-15,122,0
4326,Sole Proprietorship,Digital Services,credit,26.88,0.0,0.0,2022-08-22,31,0
4481,Limited Liability,E-Commerce,credit,10.75,0.0,0.0,2022-04-20,31,0
4656,Limited Liability,Digital Services,credit,15000.0,0.0,0.0,2022-11-25,37,0
4968,Sole Proprietorship,Press & Media,credit,1.3,-569.01,-569.01,2022-01-24,31,0
5369,Limited Liability,E-Commerce,credit,12000.0,0.0,0.0,2022-02-17,318,1
5570,Limited Liability,Travel & Hospitality,credit,0.01,-3399.58,-7514.07,2022-01-26,1,0
5612,Sole Proprietorship,Fashion & Beauty,credit,12000.0,0.0,0.0,2022-04-11,265,1
5720,Partnership,E-Commerce,credit,53.75,0.0,0.0,2022-02-03,61,0
5727,Sole Proprietorship,Technology,credit,10.0,0.0,0.0,2022-01-27,92,0
5788,Limited Liability,Leisure & Entertainment,credit,0.0,0.0,0.0,2022-02-01,13,0
5815,Limited Liability,Food & Beverage,credit,10.75,-883.69,-883.69,2022-01-19,10,0
5818,Limited Liability,Others,credit,26.88,0.0,0.0,2022-02-03,14,0
5850,Limited Liability,Technology,credit,9.75,0.0,0.0,2022-01-10,245,1
5871,Sole Proprietorship,Others,credit,10.75,0.0,0.0,2022-01-31,1,0
5895,Enterprise,Food & Beverage,credit,0.99,0.0,-877.22,2022-02-03,1,0
5898,Limited Liability,Digital Services,credit,10.75,-13127.25,-13127.25,2022-05-11,11,0
5901,Sole Proprietorship,Restaurant and Food,credit,12000.0,0.0,0.0,2022-07-06,179,0
5912,Enterprise,Auto Parts,credit,10.75,0.0,0.0,2022-01-08,343,1
5923,Enterprise,Fashion & Beauty,credit,1.0,0.0,0.0,2022-01-24,2,0
5927,Limited Liability,Membership Groups,credit,26.88,0.0,0.0,2022-01-14,23,0
5930,Sole Proprietorship,General Services,credit,100.0,0.0,0.0,2022-06-19,196,1
5946,Sole Proprietorship,General Services,credit,10.75,0.0,0.0,2022-04-03,273,1
5950,Limited Liability,Technology,credit,26.88,0.0,0.0,2022-01-12,290,1
5973,Sole Proprietorship,Others,credit,10.75,0.0,0.0,2022-01-28,4,0
5976,Enterprise,Technology,credit,10.75,0.0,0.0,2022-01-11,129,0
5984,Enterprise,Digital Services,credit,0.01,0.0,0.0,2022-10-18,2,0
6011,Limited Liability,Technology,credit,0.0,-973.07,-973.07,2022-02-28,19,0
6016,Limited Liability,Financial Services,credit,26.88,-881.66,-881.66,2022-02-04,20,0
6026,Limited Liability,Financial Services,credit,1.0,0.0,0.0,2022-01-19,30,0
6036,Limited Liability,Digital Services,credit,10.75,0.0,0.0,2022-01-17,1,0
6037,Limited Liability,Agriculture,credit,1.3,-662.77,-662.77,2022-01-10,1,0
6047,Limited Liability,Digital Services,credit,10.75,-1047.1,-1047.1,2022-01-31,31,0
6048,NGO,Schools,credit,10.75,-211.88,-211.88,2022-03-23,3,0
